Language,Consonant Inventories,Vowel Quality Inventories,Consonant-Vowel Ratio,Voicing in Plosives and Fricatives,Voicing and Gaps in Plosive Systems,Uvular Consonants,Glottalized Consonants,Lateral Consonants,The Velar Nasal,Vowel Nasalization,Nasal Vowels in West Africa,1Consonant Inventories,1Vowel Quality Inventories,1Consonant-Vowel Ratio,1Voicing in Plosives and Fricatives,1Voicing and Gaps in Plosive Systems,1Uvular Consonants,1Glottalized Consonants,1Lateral Consonants,1The Velar Nasal,Fusion of Selected Inflectional Formatives,2Consonant Inventories,Exponence of Tense-Aspect-Mood Inflection,2Vowel Quality Inventories,2Consonant-Vowel Ratio,2Voicing in Plosives and Fricatives,2Voicing and Gaps in Plosive Systems,Zero Marking of A and P Arguments,2Uvular Consonants,2Glottalized Consonants,2Lateral Consonants,2The Velar Nasal,Number of Genders,3Consonant Inventories,3Vowel Quality Inventories,3Consonant-Vowel Ratio,3Voicing in Plosives and Fricatives,3Voicing and Gaps in Plosive Systems,3Uvular Consonants,3Glottalized Consonants,3Lateral Consonants,3The Velar Nasal,Inclusive/Exclusive Forms in Pama-Nyungan,Inclusive/Exclusive Distinction in Verbal Inflection,4Consonant Inventories,4Vowel Quality Inventories,4Consonant-Vowel Ratio,4Voicing in Plosives and Fricatives,4Voicing and Gaps in Plosive Systems,4Uvular Consonants,4Glottalized Consonants,4Lateral Consonants,4The Velar Nasal,Asymmetrical Case-Marking,5Consonant Inventories,5Vowel Quality Inventories,5Consonant-Vowel Ratio,5Voicing in Plosives and Fricatives,5Voicing and Gaps in Plosive Systems,5Uvular Consonants,5Glottalized Consonants,5Lateral Consonants,Number of Possessive Nouns,5The Velar Nasal,"Genitives,6Consonant Inventories,6Vowel Quality Inventories,6Consonant-Vowel Ratio,6Voicing in Plosives and Fricatives,6Voicing and Gaps in Plosive Systems,6Uvular Consonants,6Glottalized Consonants,6Lateral Consonants,6The Velar Nasal,The Morphological Imperative,7Consonant Inventories,7Vowel Quality Inventories,7Consonant-Vowel Ratio,7Voicing in Plosives and Fricatives,7Voicing and Gaps in Plosive Systems,7Uvular Consonants,7Glottalized Consonants,7Lateral Consonants,7The Velar Nasal,Suppletion in Imperatives and Hortatives,Verbal Number and Suppletion,8Consonant Inventories,"Languages with two Dominant Orders of Subject,8Vowel Quality Inventories,8Consonant-Vowel Ratio,8Voicing in Plosives and Fricatives,8Voicing and Gaps in Plosive Systems,8Uvular Consonants,8Glottalized Consonants,8Lateral Consonants,8The Velar Nasal,Order of Relative Clause and Noun,Prenominal relative clauses,Postnominal relative clauses,Internally-headed relative clauses,Correlative relative clauses,Adjoined relative clauses,Double-headed relative clauses,9Consonant Inventories,9Vowel Quality Inventories,9Consonant-Vowel Ratio,9Voicing in Plosives and Fricatives,9Voicing and Gaps in Plosive Systems,9Uvular Consonants,9Glottalized Consonants,9Lateral Consonants,9The Velar Nasal,Alignment of Verbal Person Marking,10Consonant Inventories,10Vowel Quality Inventories,10Consonant-Vowel Ratio,10Voicing in Plosives and Fricatives,10Voicing and Gaps in Plosive Systems,10Uvular Consonants,10Glottalized Consonants,10Lateral Consonants,Productivity of the Antipassive Construction,10The Velar Nasal,Other Roles of Applied Objects,1Vowel Nasalization,11Consonant Inventories,11Vowel Quality Inventories,11Consonant-Vowel Ratio,11Voicing in Plosives and Fricatives,11Voicing and Gaps in Plosive Systems,11Uvular Consonants,11Glottalized Consonants,11Lateral Consonants,11The Velar Nasal,1Fusion of Selected Inflectional Formatives,12Consonant Inventories,12Vowel Quality Inventories,12Consonant-Vowel Ratio,12Voicing in Plosives and Fricatives,12Voicing and Gaps in Plosive Systems,12Uvular Consonants,12Glottalized Consonants,12Lateral Consonants,12The Velar Nasal,1Number of Genders,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',13Consonant Inventories,13Vowel Quality Inventories,13Consonant-Vowel Ratio,13Voicing in Plosives and Fricatives,13Voicing and Gaps in Plosive Systems,13Uvular Consonants,M in First Person Singular,13Glottalized Consonants,M in Second Person Singular,13Lateral Consonants,13The Velar Nasal,1Inclusive/Exclusive Distinction in Verbal Inflection,14Consonant Inventories,14Vowel Quality Inventories,14Consonant-Vowel Ratio,Obligatory Double Negation,Optional Double Negation,Optional Triple Negation,Preverbal Negative Morphemes,Postverbal Negative Morphemes,Minor morphological means of signaling negation,14Voicing in Plosives and Fricatives,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Languages with different word order in negative clauses,The Position of Negative Morphemes in SVO Languages,Multiple Negative Constructions in SVO Languages,Obligatory Double Negation in SVO languages,Optional Double Negation in SVO languages,NegSVO Order,SNegVO Order,SVNegO Order,SVONeg Order,The Position of Negative Morphemes in SOV Languages,Multiple Negative Constructions in SOV Languages,Obligatory Double Negation in SOV languages,Optional Double Negation in SOV languages,NegSOV Order,SNegOV Order,SONegV Order,SOVNeg Order,The Position of Negative Morphemes in Verb-Initial Languages,Double negation in verb-initial languages,Verb-Initial with Preverbal Negative,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Verb-Initial with Clause-Final Negative,The Position of Negative Morphemes in Object-Initial Languages
Rhaeto-Romansch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Rengao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rennellese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romani Baltic,,,,,,,,,,,,,,,7,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyankole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,2,,2,2,2,2,2,1,,1,,,,,,6,2,1,4,4,4,,,,2,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,4,4,20,,,5,,,,4,2,7,4,,,,,,,,,,,,,,
Rumanian,3,3,3,4,2,1,1,2,,,,1,,1,1,3,6,,1,1,,,,,,,,,2,,,,,,,2,6,,,3,2,,,,,,,,3,1,2,,2,3,1,1,6,5,,,4,,,,,,,1,,1,1,2,4,2,2,3,1,,2,1,1,1,1,,,,2,,1,2,,2,2,2,6,1,1,,1,,,,,1,6,1,1,4,4,4,,,,,,,,,,,,,,,,,2,,,1,6,5,2,2,1,,,,2,,,,,2,2,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Ron (Chadic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,2,,2,2,1,,1,,,,,,2,2,,,4,,,,,4,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,4,4,6,,4,,,,4,8,7,1,,,,,,,,,,,,,,
Roro,1,2,1,1,1,1,1,1,,,,1,1,1,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotuman,,,,,,,,,,,,,,,1,3,2,5,,,,,,,,,,,1,1,,,,,,,3,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,2,1,,,,,2,,,,,,,,,,,,,2,,1,2,1,2,2,2,2,2,1,,1,,,,,2,1,2,1,4,4,4,,,,,,,,,,,,,,,,2,6,,,,1,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,1,1,4,18,,,14,,2,,4,5,5,4,,,,,,,,,,,,,,
Roviana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,2,1,,2,2,2,1,1,,1,,,,,,6,,1,,4,4,,,,1,,,,,,,,,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,9,3,,,,,,,,,,,,,,,,,,1,,1,6,4,
rpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,21,,,,,,,,,,,14,,,,,,,11,,,,,,
Nyoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,2,,,,2,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,4,4,20,,,5,,,,4,2,7,4,,,,,,,,,,,,,,
Rhaeto-Romansch Scharans dialect,3,2,4,4,2,1,1,2,,,,1,3,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romani (Sepec*ides),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shughni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsm,,,,,,,,,,,,,,,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,1,2,,,2,2,1,1,1,,1,,,,,,,,1,,4,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,4,21,,,12,,,,4,8,,,,,,,,,,,,,,,,
Roti,,,,,,,,,,,,,,,6,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotokas,1,2,1,1,1,1,1,1,,,,1,1,1,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rukai,3,1,4,4,2,1,1,2,,,,1,2,1,,,,,1,5,,,,,,,,,4,1,,,,,,1,,,,,,,,,,,,,,,,,,,9,,,,1,,2,,,,,,,,,1,1,1,3,1,,,,,,,,,,,,,7,2,2,2,,2,2,3,1,1,7,2,2,,,,,1,6,2,,4,5,5,,,,2,,,,,,,,,,,,2,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,16,3,,,,,,,,,,,,,,,,,,5,,1,6,4,
Kairi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,1,,1,1,2,2,2,2,1,,,,,,,2,2,5,1,1,2,,,,5,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,2,4,20,,,,,,,,,,,6,,,,4,4,8,2,,,,,,
Runga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,1,1,,,,,,,,,,,,,,9,,,,,,1,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,1,1,,1,1,2,2,3,1,,1,,,,,,6,,5,1,2,2,,,,2,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,4,,1,2,4,19,,,,,,,,,,,17,,,15,,,,4,,,,,,
Russian,4,2,5,4,2,1,1,2,3,2,,1,3,1,1,5,6,5,1,1,1,2,1,3,2,2,2,2,2,3,3,3,3,2,3,2,6,6,4,5,5,3,,3,2,1,,3,2,1,2,2,6,6,1,3,7,5,1,,4,2,1,1,6,2,3,1,1,1,1,2,4,4,1,1,4,2,2,1,1,1,1,3,2,1,2,,1,2,,2,2,1,1,1,1,,1,,,,,1,3,1,1,4,4,3,2,2,2,1,2,2,1,1,3,1,3,4,8,5,2,2,2,1,7,1,1,1,2,2,2,4,1,1,1,2,2,2,1,1,2,,1,7,7,1,1,2,2,1,1,1,,,,2,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Rutul,5,2,5,4,2,4,2,2,3,,,1,3,2,,,,,1,4,,,,,,,,,3,,,,,,,2,,,1,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,4,,,,1,,,,2,2,,,,1,,1,1,,1,1,1,1,1,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawa,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,1,,,,,,,,,,,1,,1,1,,,,2,6,2,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,21,,,,,,,,,,,14,,,,,,,11,,,,,,
Welsh Romany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,1,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,7,3,3,2,,2,1,1,1,1,1,,1,,,,,3,1,,1,4,4,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,19,,1,1,4,19,,,15,,,18,,,,,,,,,,,,,23,16,3,,,
d Ryukyuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,6,2,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sa'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,9,,,,,,2,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sa'ban,3,3,2,2,2,1,1,2,,,,1,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saek,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sahu,,,,,,,,,,,,,,,5,8,1,,,,,,,,1,1,1,2,6,,,,,,,9,,,,,,,,,,,,2,,,,2,,,9,,,,,,4,2,1,1,,,,,,,,,,5,,,,,,,,,,,,,2,,1,2,,2,1,2,2,2,1,,1,,,,,3,6,2,1,4,4,4,,,2,1,5,2,2,,,2,,,,,,,2,,,,6,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,2,,,,4,1,4,16,,,13,5,,,4,8,1,1,,,,,,,,,,,,,,
Sakao,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,1,2,,2,2,2,2,2,1,,1,,,,,,,2,1,4,4,4,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,4,4,20,,,5,,,,4,2,7,4,,,,,,,,,,,,,,
Salinan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,2,,,,,,,,6,,,,3,,,7,,,,1,,3,1,1,2,,,,,,,,,,5,,,,,,,,,,,,,2,,2,2,6,2,2,3,1,1,,,,,,,,2,6,,,4,,5,,,2,,5,2,3,,,2,,,,,,,6,,,,2,,1,1,2,1,,,,,,,,2,2,,,,,,,1,1,1,2,,,,,,14,8,,,3,4,4,18,,,14,,23,,,6,7,4,,,,,,,,,,,,,,
Samoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,7,,5,,1,1,,,,3,1,3,6,,2,,2,,,9,2,3,3,2,,4,2,1,1,,,5,2,,,,,,1,,,,,,,,,,4,5,3,7,2,2,2,,2,2,2,6,3,1,,1,,,,,3,1,2,1,4,4,4,,,1,,1,1,1,,,2,3,4,,,,2,2,,,,1,1,1,1,2,3,,,5,,,,,1,2,,,,,,,,,,,,,,,2,1,,,,1,4,4,16,3,,,,,,,,,,,,,,,,,,5,,1,6,4,
Sango,4,3,3,4,2,1,3,2,3,1,,1,1,2,,,,,1,3,1,5,6,1,4,2,5,2,6,,1,3,1,1,1,1,,4,1,1,,3,,1,,,1,6,2,2,,2,1,1,9,1,,,,,4,2,1,1,,,2,2,1,2,4,2,4,5,5,1,3,,2,3,2,1,1,4,5,1,2,,1,2,1,2,2,1,2,2,1,,1,,,,,2,2,2,1,4,4,3,1,1,1,2,1,1,1,1,1,2,3,4,8,5,,,2,1,7,,1,4,,,,,4,,1,,1,1,,,,,1,,,,,1,2,1,2,1,,,,,2,,,,4,1,4,4,6,,4,,,,4,8,7,1,,,,,,,,,,,,,,
Saho,,,,,,,,,,,,,,,1,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,2,,1,2,,,,2,,,,,,,,,,,2,2,,,,4,,,,5,,,,1,,,,,,,,,,1,7,,1,,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Kapriman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,5,5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,1,1,6,1,1,1,1,1,2,1,,,,,,,6,2,1,1,1,1,,,,2,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,2,2,4,20,,,,,,,,,,,15,6,,,4,4,2,2,,,,,,
Sau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,1,,1,1,1,1,,,,,,,,,,,2,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,6,,,,2,,,,,,,3,1,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,2,,,,,,2,,1,7,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2,,,,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,
Sayula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saliba,3,2,3,4,2,1,1,2,3,,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,4,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
Sama (North),,,,,,,,,,,,,,,6,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sch,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbocroat,,,,,,,,,,,,,,,1,5,5,5,,,,,,,,,,,2,,,,,,,2,6,,,5,5,,,,,,1,,,1,,,5,6,1,,7,,,,4,,,,,,,1,,,,,,5,1,1,4,,2,1,1,,,3,1,1,2,,1,2,,2,3,1,1,1,,,,,,,,1,5,,1,4,,3,,,,2,,,,,,,,,,,,,2,,,1,1,5,2,2,1,,,,,,,,,1,2,,,,,,,,,,,1,,,,1,1,,,,1,4,4,21,,,11,,,,,,7,4,,,,,,,,,,,,,,
Saami (Southern),5,2,5,2,2,1,1,2,,,,1,3,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindhi,5,3,4,4,2,1,3,2,,,,1,,1,1,6,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandawe,5,2,5,2,2,1,2,4,,,,1,2,2,,,,,1,2,,,,,4,4,5,2,2,,,,,,,2,3,,,3,1,,,,,,,,,,,,,,6,,,,1,,4,,,,,,,,,,,,,2,1,,4,,,,,,,,,,1,,1,1,6,1,1,2,1,2,1,,1,,,,,1,,2,1,1,2,2,,,,1,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,2,4,20,,,,,,,,,,,6,,,,4,4,8,2,,,,,,
